Cod_Operadora;Operadora;UF;qtd_beneficiarios
421421;2CARE OPERADORA DE SAUDE LTDA.;São Paulo;26311
421421;2CARE OPERADORA DE SAUDE LTDA.;Minas Gerais;996
421421;2CARE OPERADORA DE SAUDE LTDA.;Rio de Janeiro;13
421421;2CARE OPERADORA DE SAUDE LTDA.;Tocantins;10
421421;2CARE OPERADORA DE SAUDE LTDA.;Goiás;7
421421;2CARE OPERADORA DE SAUDE LTDA.;Paraná;5
421421;2CARE OPERADORA DE SAUDE LTDA.;Santa Catarina;3
421421;2CARE OPERADORA DE SAUDE LTDA.;Bahia;2
421421;2CARE OPERADORA DE SAUDE LTDA.;Distrito Federal;2
421421;2CARE OPERADORA DE SAUDE LTDA.;Mato Grosso;2
421421;2CARE OPERADORA DE SAUDE LTDA.;Pará;2
421421;2CARE OPERADORA DE SAUDE LTDA.;Ceará;1
421421;2CARE OPERADORA DE SAUDE LTDA.;Paraíba;1
421421;2CARE OPERADORA DE SAUDE LTDA.;Acre;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Alagoas;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Amapá;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Amazonas;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Espírito Santo;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Maranhão;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Mato Grosso do Sul;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Pernambuco;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Piauí;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Rio Grande do Norte;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Rio Grande do Sul;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Rondônia;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Roraima;0
421421;2CARE OPERADORA DE SAUDE LTDA.;Sergipe;0
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;São Paulo;3599
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Distrito Federal;2
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Rio de Janeiro;2
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Minas Gerais;1
406708;A.P.S ASSISTENCIA PERSONALIZADA A SAUDE LTD;Acre;0
